course_id,difficulty_score,confidence,difficulty_score_raw
PHYSICS231,9.724324324324325,medium,8.785674125004888
PHYSICS233A,9.24015444015444,medium,8.044933812762018
PHYSICS233B,8.435135135135134,low,7.201524219110404
PHYSICS233C,9.086679536679537,medium,7.860302147619473
PHYSICS234A,9.463706563706564,medium,8.39598620327234
PHYSICS234B,9.438223938223938,medium,8.349603831398493
PHYSICS234C,9.526254826254826,medium,8.478391408669532
PHYSICS235A,9.072200772200773,high,7.851621422319042
PHYSICS235B,9.375675675675677,medium,8.243167419066607
PHYSICS235C,9.26911196911197,medium,8.076796865785417
PHYSICS238A,8.691119691119692,high,7.479176484301751
PHYSICS238B,8.914671814671815,medium,7.673640197614606
PHYSICS238C,9.214671814671815,medium,8.002055897747782
PHYSICS239A,9.56042471042471,medium,8.53294201515611
PHYSICS239B,9.461389961389962,medium,8.391208010635905
PHYSICS239C,9.715057915057915,medium,8.772044811251842
PHYSICS239D,9.452123552123552,medium,8.373284553923039
PHYSICS240A,9.254054054054054,medium,8.061097327996999
PHYSICS240B,8.276447876447875,medium,7.026941790389041
PHYSIO200,3.383783783783784,medium,4.469704608078253
PHYSIO200R,2.235907335907336,medium,3.5599527698258475
PHYSIO201,8.439768339768339,medium,7.2040681088935825
PHYSIO204,9.660617760617761,low,8.67290842496666
PHYSIO205,8.886293436293435,medium,7.645089405385112
PHYSIO206A,9.80945945945946,low,8.939434600654327
PHYSIO206B,9.80945945945946,low,8.939434600654327
PHYSIO208,9.068725868725869,low,7.850037972437825
PHYSIO215,2.736293436293436,medium,4.135085697766307
PHYSIO215A,2.2868725868725868,medium,3.6163756178559887
PHYSIO215B,6.508880308880309,medium,5.968909414375205
PHYSIO227,7.42972972972973,low,6.556171512810493
PHYSIO232,9.830888030888032,low,8.971876925410315
PHYSIO252,8.9007722007722,medium,7.661543595763034
PHYSIO272,8.928571428571429,low,7.690488282996828
PHYSIO273,9.08030888030888,low,7.855694582908097
PHYSIO290,2.3030888030888033,low,3.630539303404992
PHYSIO292A,1.0996138996138995,medium,1.44998871535702
PHYSIO292C,1.2455598455598456,medium,1.9831109307158945
PHYSIO299,7.247876447876448,medium,6.435446695288459
POLSCI10A,9.913127413127413,medium,9.139539745780123
POLSCI10B,9.425482625482626,medium,8.333077509691748
POLSCI10C,9.746332046332046,medium,8.831020548338813
POLSCI111,2.544015444015444,low,3.9305060292257554
POLSCI11A,8.784942084942085,low,7.562216322038534
POLSCI11C,7.081081081081081,medium,6.3292862736243825
POLSCI120,4.290733590733591,medium,5.123329815338245
POLSCI120W,6.844787644787645,low,6.161373376164531
POLSCI121A,2.806949806949807,medium,4.22531881872974
POLSCI121C,6.526254826254826,medium,5.978552100728267
POLSCI121E,8.416023166023166,low,7.17723406826746
POLSCI121F,6.7405405405405405,medium,6.1057990214021896
POLSCI121G,3.3513513513513513,medium,4.441189619003271
POLSCI121HW,3.0617760617760617,medium,4.299603366873335
POLSCI121J,7.1830115830115835,medium,6.385758830587804
POLSCI122A,8.29034749034749,medium,7.041186804163219
POLSCI122B,7.362548262548263,medium,6.517847413789916
POLSCI122BW,8.731660231660232,medium,7.510059530328394
POLSCI122C,3.4706563706563704,low,4.541253589119278
POLSCI123A,9.182239382239382,medium,7.95103339026912
POLSCI123B,9.417374517374517,medium,8.325842068851191
POLSCI124A,8.285714285714285,low,7.03282413037926
POLSCI124B,3.4411196911196913,medium,4.513933049142645
POLSCI124C,8.61988416988417,low,7.406493163209785
